travelCode,userCode,name,place,days,price,total,date,userCompany,user,userGender,userAge,cantReservacion
32711,314,Hotel A,Florianopolis (SC),2,313.02,626.04,11/04/2021,4You,Matthew Johnson,male,50,1
32712,314,Hotel BP,Brasilia (DF),4,247.62,990.48,11/11/2021,4You,Matthew Johnson,male,50,1
32714,314,Hotel BP,Brasilia (DF),2,247.62,495.24,11/25/2021,4You,Matthew Johnson,male,50,1
32715,314,Hotel BD,Natal (RN),1,242.88,242.88,12/02/2021,4You,Matthew Johnson,male,50,1
32717,314,Hotel K,Salvador (BH),2,263.41,526.82,12/16/2021,4You,Matthew Johnson,male,50,1
32718,314,Hotel AU,Recife (PE),1,312.83,312.83,12/23/2021,4You,Matthew Johnson,male,50,1
32721,314,Hotel AF,Sao Paulo (SP),1,139.1,139.1,01/13/2022,4You,Matthew Johnson,male,50,1
32725,314,Hotel BP,Brasilia (DF),4,247.62,990.48,02/10/2022,4You,Matthew Johnson,male,50,1
32727,314,Hotel BD,Natal (RN),2,242.88,485.76,02/24/2022,4You,Matthew Johnson,male,50,1
32728,314,Hotel K,Salvador (BH),2,263.41,526.82,03/03/2022,4You,Matthew Johnson,male,50,1
32730,314,Hotel AU,Recife (PE),1,312.83,312.83,03/17/2022,4You,Matthew Johnson,male,50,1
32736,314,Hotel A,Florianopolis (SC),2,313.02,626.04,04/28/2022,4You,Matthew Johnson,male,50,1
32737,314,Hotel K,Salvador (BH),2,263.41,526.82,05/05/2022,4You,Matthew Johnson,male,50,1
32742,314,Hotel A,Florianopolis (SC),4,313.02,1252.08,06/09/2022,4You,Matthew Johnson,male,50,1
32745,314,Hotel BW,Campo Grande (MS),2,60.39,120.78,06/30/2022,4You,Matthew Johnson,male,50,1
32750,314,Hotel AF,Sao Paulo (SP),2,139.1,278.2,08/04/2022,4You,Matthew Johnson,male,50,1
32752,314,Hotel AU,Recife (PE),1,312.83,312.83,08/18/2022,4You,Matthew Johnson,male,50,1
32764,316,Hotel Z,Aracaju (SE),3,208.04,624.12,10/10/2019,4You,Charlotte Johnson,female,64,1
32779,316,Hotel AF,Sao Paulo (SP),3,139.1,417.3,01/23/2020,4You,Charlotte Johnson,female,64,1
32782,316,Hotel AF,Sao Paulo (SP),2,139.1,278.2,02/13/2020,4You,Charlotte Johnson,female,64,1
32783,316,Hotel AF,Sao Paulo (SP),1,139.1,139.1,02/20/2020,4You,Charlotte Johnson,female,64,1
32785,316,Hotel BW,Campo Grande (MS),3,60.39,181.17,03/05/2020,4You,Charlotte Johnson,female,64,1
32798,316,Hotel Z,Aracaju (SE),2,208.04,416.08,06/04/2020,4You,Charlotte Johnson,female,64,1
32800,316,Hotel BD,Natal (RN),1,242.88,242.88,06/18/2020,4You,Charlotte Johnson,female,64,1
32802,316,Hotel K,Salvador (BH),1,263.41,263.41,07/02/2020,4You,Charlotte Johnson,female,64,1
32804,316,Hotel AU,Recife (PE),1,312.83,312.83,07/16/2020,4You,Charlotte Johnson,female,64,1
32805,316,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,07/23/2020,4You,Charlotte Johnson,female,64,1
32810,316,Hotel AF,Sao Paulo (SP),4,139.1,556.4,08/27/2020,4You,Charlotte Johnson,female,64,1
32814,316,Hotel Z,Aracaju (SE),2,208.04,416.08,09/24/2020,4You,Charlotte Johnson,female,64,1
32815,316,Hotel K,Salvador (BH),4,263.41,1053.64,10/01/2020,4You,Charlotte Johnson,female,64,1
32818,316,Hotel BW,Campo Grande (MS),1,60.39,60.39,10/22/2020,4You,Charlotte Johnson,female,64,1
32826,317,Hotel BW,Campo Grande (MS),2,60.39,120.78,10/10/2019,4You,Adam Groome,male,54,1
32829,317,Hotel AU,Recife (PE),2,312.83,625.66,10/31/2019,4You,Adam Groome,male,54,1
32832,317,Hotel BP,Brasilia (DF),1,247.62,247.62,11/21/2019,4You,Adam Groome,male,54,1
32834,317,Hotel A,Florianopolis (SC),2,313.02,626.04,12/05/2019,4You,Adam Groome,male,54,1
32837,317,Hotel AU,Recife (PE),3,312.83,938.49,12/26/2019,4You,Adam Groome,male,54,1
32839,317,Hotel K,Salvador (BH),4,263.41,1053.64,01/09/2020,4You,Adam Groome,male,54,1
32844,317,Hotel Z,Aracaju (SE),3,208.04,624.12,02/13/2020,4You,Adam Groome,male,54,1
32846,317,Hotel AF,Sao Paulo (SP),2,139.1,278.2,02/27/2020,4You,Adam Groome,male,54,1
32848,317,Hotel BD,Natal (RN),4,242.88,971.52,03/12/2020,4You,Adam Groome,male,54,1
32852,317,Hotel K,Salvador (BH),4,263.41,1053.64,04/09/2020,4You,Adam Groome,male,54,1
32856,317,Hotel AU,Recife (PE),2,312.83,625.66,05/07/2020,4You,Adam Groome,male,54,1
32858,317,Hotel A,Florianopolis (SC),3,313.02,939.06,05/21/2020,4You,Adam Groome,male,54,1
32864,317,Hotel BP,Brasilia (DF),2,247.62,495.24,07/02/2020,4You,Adam Groome,male,54,1
32872,317,Hotel BD,Natal (RN),1,242.88,242.88,08/27/2020,4You,Adam Groome,male,54,1
32874,317,Hotel AF,Sao Paulo (SP),2,139.1,278.2,09/10/2020,4You,Adam Groome,male,54,1
32877,317,Hotel BD,Natal (RN),4,242.88,971.52,10/01/2020,4You,Adam Groome,male,54,1
32879,317,Hotel A,Florianopolis (SC),1,313.02,313.02,10/15/2020,4You,Adam Groome,male,54,1
32880,317,Hotel BW,Campo Grande (MS),3,60.39,181.17,10/22/2020,4You,Adam Groome,male,54,1
32882,317,Hotel A,Florianopolis (SC),2,313.02,626.04,11/05/2020,4You,Adam Groome,male,54,1
32887,317,Hotel BP,Brasilia (DF),3,247.62,742.86,12/10/2020,4You,Adam Groome,male,54,1
32888,317,Hotel Z,Aracaju (SE),1,208.04,208.04,12/17/2020,4You,Adam Groome,male,54,1
32895,317,Hotel AU,Recife (PE),1,312.83,312.83,02/04/2021,4You,Adam Groome,male,54,1
32897,317,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,02/18/2021,4You,Adam Groome,male,54,1
32898,317,Hotel A,Florianopolis (SC),4,313.02,1252.08,02/25/2021,4You,Adam Groome,male,54,1
32899,317,Hotel Z,Aracaju (SE),1,208.04,208.04,03/04/2021,4You,Adam Groome,male,54,1
32901,317,Hotel AF,Sao Paulo (SP),3,139.1,417.3,03/18/2021,4You,Adam Groome,male,54,1
32902,317,Hotel Z,Aracaju (SE),2,208.04,416.08,03/25/2021,4You,Adam Groome,male,54,1
32903,317,Hotel Z,Aracaju (SE),1,208.04,208.04,04/01/2021,4You,Adam Groome,male,54,1
32909,317,Hotel K,Salvador (BH),1,263.41,263.41,05/13/2021,4You,Adam Groome,male,54,1
32917,317,Hotel A,Florianopolis (SC),4,313.02,1252.08,07/08/2021,4You,Adam Groome,male,54,1
32925,317,Hotel AF,Sao Paulo (SP),2,139.1,278.2,09/02/2021,4You,Adam Groome,male,54,1
32930,317,Hotel AF,Sao Paulo (SP),4,139.1,556.4,10/07/2021,4You,Adam Groome,male,54,1
32933,317,Hotel AF,Sao Paulo (SP),3,139.1,417.3,10/28/2021,4You,Adam Groome,male,54,1
32938,317,Hotel AU,Recife (PE),1,312.83,312.83,12/02/2021,4You,Adam Groome,male,54,1
32941,317,Hotel K,Salvador (BH),1,263.41,263.41,12/23/2021,4You,Adam Groome,male,54,1
32948,317,Hotel BW,Campo Grande (MS),1,60.39,60.39,02/10/2022,4You,Adam Groome,male,54,1
32950,317,Hotel A,Florianopolis (SC),3,313.02,939.06,02/24/2022,4You,Adam Groome,male,54,1
32952,318,Hotel BD,Natal (RN),4,242.88,971.52,09/26/2019,4You,Hazel Grove,none,50,1
32959,318,Hotel Z,Aracaju (SE),3,208.04,624.12,11/14/2019,4You,Hazel Grove,none,50,1
32960,318,Hotel Z,Aracaju (SE),2,208.04,416.08,11/21/2019,4You,Hazel Grove,none,50,1
32961,318,Hotel Z,Aracaju (SE),4,208.04,832.16,11/28/2019,4You,Hazel Grove,none,50,1
32964,318,Hotel A,Florianopolis (SC),1,313.02,313.02,12/19/2019,4You,Hazel Grove,none,50,1
32967,318,Hotel Z,Aracaju (SE),3,208.04,624.12,01/09/2020,4You,Hazel Grove,none,50,1
32973,318,Hotel AU,Recife (PE),4,312.83,1251.32,02/20/2020,4You,Hazel Grove,none,50,1
32977,318,Hotel K,Salvador (BH),3,263.41,790.23,03/19/2020,4You,Hazel Grove,none,50,1
32979,318,Hotel BW,Campo Grande (MS),4,60.39,241.56,04/02/2020,4You,Hazel Grove,none,50,1
32980,318,Hotel AF,Sao Paulo (SP),3,139.1,417.3,04/09/2020,4You,Hazel Grove,none,50,1
32981,318,Hotel A,Florianopolis (SC),2,313.02,626.04,04/16/2020,4You,Hazel Grove,none,50,1
32982,318,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,04/23/2020,4You,Hazel Grove,none,50,1
32984,318,Hotel AF,Sao Paulo (SP),3,139.1,417.3,05/07/2020,4You,Hazel Grove,none,50,1
32987,318,Hotel A,Florianopolis (SC),3,313.02,939.06,05/28/2020,4You,Hazel Grove,none,50,1
32989,318,Hotel AF,Sao Paulo (SP),2,139.1,278.2,06/11/2020,4You,Hazel Grove,none,50,1
32990,318,Hotel A,Florianopolis (SC),3,313.02,939.06,06/18/2020,4You,Hazel Grove,none,50,1
32992,318,Hotel BW,Campo Grande (MS),2,60.39,120.78,07/02/2020,4You,Hazel Grove,none,50,1
33000,318,Hotel BW,Campo Grande (MS),4,60.39,241.56,08/27/2020,4You,Hazel Grove,none,50,1
33001,318,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,09/03/2020,4You,Hazel Grove,none,50,1
33002,319,Hotel AF,Sao Paulo (SP),4,139.1,556.4,09/26/2019,4You,Anthony Jarrett,male,28,1
33004,319,Hotel BP,Brasilia (DF),1,247.62,247.62,10/10/2019,4You,Anthony Jarrett,male,28,1
33006,319,Hotel BW,Campo Grande (MS),4,60.39,241.56,10/24/2019,4You,Anthony Jarrett,male,28,1
33020,319,Hotel AU,Recife (PE),2,312.83,625.66,01/30/2020,4You,Anthony Jarrett,male,28,1
33022,319,Hotel BW,Campo Grande (MS),4,60.39,241.56,02/13/2020,4You,Anthony Jarrett,male,28,1
33024,319,Hotel K,Salvador (BH),1,263.41,263.41,02/27/2020,4You,Anthony Jarrett,male,28,1
33029,319,Hotel BP,Brasilia (DF),2,247.62,495.24,04/02/2020,4You,Anthony Jarrett,male,28,1
33034,319,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,05/07/2020,4You,Anthony Jarrett,male,28,1
33037,319,Hotel BP,Brasilia (DF),2,247.62,495.24,05/28/2020,4You,Anthony Jarrett,male,28,1
33045,319,Hotel AF,Sao Paulo (SP),3,139.1,417.3,07/23/2020,4You,Anthony Jarrett,male,28,1
33046,319,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,07/30/2020,4You,Anthony Jarrett,male,28,1
33050,319,Hotel K,Salvador (BH),3,263.41,790.23,08/27/2020,4You,Anthony Jarrett,male,28,1
33051,319,Hotel BP,Brasilia (DF),2,247.62,495.24,09/03/2020,4You,Anthony Jarrett,male,28,1
33056,319,Hotel AU,Recife (PE),3,312.83,938.49,10/08/2020,4You,Anthony Jarrett,male,28,1
33066,319,Hotel K,Salvador (BH),3,263.41,790.23,12/17/2020,4You,Anthony Jarrett,male,28,1
33067,319,Hotel BD,Natal (RN),2,242.88,485.76,12/24/2020,4You,Anthony Jarrett,male,28,1
33069,319,Hotel BD,Natal (RN),2,242.88,485.76,01/07/2021,4You,Anthony Jarrett,male,28,1
33071,319,Hotel BW,Campo Grande (MS),1,60.39,60.39,01/21/2021,4You,Anthony Jarrett,male,28,1
33077,319,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,03/04/2021,4You,Anthony Jarrett,male,28,1
33081,319,Hotel AU,Recife (PE),3,312.83,938.49,04/01/2021,4You,Anthony Jarrett,male,28,1
33085,319,Hotel A,Florianopolis (SC),1,313.02,313.02,04/29/2021,4You,Anthony Jarrett,male,28,1
33086,319,Hotel BW,Campo Grande (MS),2,60.39,120.78,05/06/2021,4You,Anthony Jarrett,male,28,1
33087,319,Hotel BW,Campo Grande (MS),4,60.39,241.56,05/13/2021,4You,Anthony Jarrett,male,28,1
33094,319,Hotel Z,Aracaju (SE),1,208.04,208.04,07/01/2021,4You,Anthony Jarrett,male,28,1
33097,319,Hotel A,Florianopolis (SC),3,313.02,939.06,07/22/2021,4You,Anthony Jarrett,male,28,1
33101,319,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,08/19/2021,4You,Anthony Jarrett,male,28,1
33104,319,Hotel BD,Natal (RN),3,242.88,728.64,09/09/2021,4You,Anthony Jarrett,male,28,1
33107,319,Hotel BP,Brasilia (DF),1,247.62,247.62,09/30/2021,4You,Anthony Jarrett,male,28,1
33125,319,Hotel BW,Campo Grande (MS),3,60.39,181.17,02/03/2022,4You,Anthony Jarrett,male,28,1
33129,319,Hotel BW,Campo Grande (MS),4,60.39,241.56,03/03/2022,4You,Anthony Jarrett,male,28,1
33140,319,Hotel BD,Natal (RN),2,242.88,485.76,05/19/2022,4You,Anthony Jarrett,male,28,1
33146,319,Hotel A,Florianopolis (SC),1,313.02,313.02,06/30/2022,4You,Anthony Jarrett,male,28,1
33148,319,Hotel BD,Natal (RN),1,242.88,242.88,07/14/2022,4You,Anthony Jarrett,male,28,1
33156,319,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,09/08/2022,4You,Anthony Jarrett,male,28,1
33157,319,Hotel Z,Aracaju (SE),1,208.04,208.04,09/15/2022,4You,Anthony Jarrett,male,28,1
33159,319,Hotel AU,Recife (PE),1,312.83,312.83,09/29/2022,4You,Anthony Jarrett,male,28,1
33178,320,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,12/12/2019,4You,Reginald Doherty,male,33,1
33179,320,Hotel A,Florianopolis (SC),2,313.02,626.04,12/19/2019,4You,Reginald Doherty,male,33,1
33183,320,Hotel BD,Natal (RN),4,242.88,971.52,01/16/2020,4You,Reginald Doherty,male,33,1
33186,320,Hotel AF,Sao Paulo (SP),2,139.1,278.2,02/06/2020,4You,Reginald Doherty,male,33,1
33195,320,Hotel BW,Campo Grande (MS),4,60.39,241.56,04/09/2020,4You,Reginald Doherty,male,33,1
33198,320,Hotel BP,Brasilia (DF),4,247.62,990.48,04/30/2020,4You,Reginald Doherty,male,33,1
33200,320,Hotel AF,Sao Paulo (SP),3,139.1,417.3,05/14/2020,4You,Reginald Doherty,male,33,1
33204,320,Hotel BD,Natal (RN),3,242.88,728.64,06/11/2020,4You,Reginald Doherty,male,33,1
33213,320,Hotel BW,Campo Grande (MS),2,60.39,120.78,08/13/2020,4You,Reginald Doherty,male,33,1
33222,320,Hotel A,Florianopolis (SC),1,313.02,313.02,10/15/2020,4You,Reginald Doherty,male,33,1
33224,320,Hotel BW,Campo Grande (MS),2,60.39,120.78,10/29/2020,4You,Reginald Doherty,male,33,1
33225,320,Hotel AU,Recife (PE),1,312.83,312.83,11/05/2020,4You,Reginald Doherty,male,33,1
33226,320,Hotel BW,Campo Grande (MS),3,60.39,181.17,11/12/2020,4You,Reginald Doherty,male,33,1
33229,321,Hotel BP,Brasilia (DF),3,247.62,742.86,10/03/2019,4You,Jack Perry,none,57,1
33235,321,Hotel K,Salvador (BH),2,263.41,526.82,11/14/2019,4You,Jack Perry,none,57,1
33242,321,Hotel BW,Campo Grande (MS),4,60.39,241.56,01/02/2020,4You,Jack Perry,none,57,1
33247,321,Hotel AF,Sao Paulo (SP),1,139.1,139.1,02/06/2020,4You,Jack Perry,none,57,1
33248,321,Hotel BD,Natal (RN),1,242.88,242.88,02/13/2020,4You,Jack Perry,none,57,1
33255,321,Hotel AU,Recife (PE),3,312.83,938.49,04/02/2020,4You,Jack Perry,none,57,1
33257,321,Hotel AU,Recife (PE),1,312.83,312.83,04/16/2020,4You,Jack Perry,none,57,1
33258,321,Hotel A,Florianopolis (SC),3,313.02,939.06,04/23/2020,4You,Jack Perry,none,57,1
33259,321,Hotel AU,Recife (PE),1,312.83,312.83,04/30/2020,4You,Jack Perry,none,57,1
33262,321,Hotel BD,Natal (RN),1,242.88,242.88,05/21/2020,4You,Jack Perry,none,57,1
33272,321,Hotel A,Florianopolis (SC),4,313.02,1252.08,07/30/2020,4You,Jack Perry,none,57,1
33275,321,Hotel BP,Brasilia (DF),4,247.62,990.48,08/20/2020,4You,Jack Perry,none,57,1
33284,321,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,10/22/2020,4You,Jack Perry,none,57,1
33285,321,Hotel K,Salvador (BH),1,263.41,263.41,10/29/2020,4You,Jack Perry,none,57,1
33286,321,Hotel BP,Brasilia (DF),2,247.62,495.24,11/05/2020,4You,Jack Perry,none,57,1
33291,321,Hotel BD,Natal (RN),4,242.88,971.52,12/10/2020,4You,Jack Perry,none,57,1
33296,321,Hotel AU,Recife (PE),2,312.83,625.66,01/14/2021,4You,Jack Perry,none,57,1
33297,321,Hotel BD,Natal (RN),2,242.88,485.76,01/21/2021,4You,Jack Perry,none,57,1
33300,321,Hotel AU,Recife (PE),1,312.83,312.83,02/11/2021,4You,Jack Perry,none,57,1
33303,321,Hotel K,Salvador (BH),1,263.41,263.41,03/04/2021,4You,Jack Perry,none,57,1
33305,321,Hotel AF,Sao Paulo (SP),3,139.1,417.3,03/18/2021,4You,Jack Perry,none,57,1
33308,321,Hotel AU,Recife (PE),2,312.83,625.66,04/08/2021,4You,Jack Perry,none,57,1
33309,321,Hotel BW,Campo Grande (MS),3,60.39,181.17,04/15/2021,4You,Jack Perry,none,57,1
33315,321,Hotel AU,Recife (PE),1,312.83,312.83,05/27/2021,4You,Jack Perry,none,57,1
33321,321,Hotel AF,Sao Paulo (SP),4,139.1,556.4,07/08/2021,4You,Jack Perry,none,57,1
33322,321,Hotel Z,Aracaju (SE),3,208.04,624.12,07/15/2021,4You,Jack Perry,none,57,1
33329,321,Hotel AF,Sao Paulo (SP),1,139.1,139.1,09/02/2021,4You,Jack Perry,none,57,1
33330,321,Hotel BD,Natal (RN),4,242.88,971.52,09/09/2021,4You,Jack Perry,none,57,1
33332,321,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,09/23/2021,4You,Jack Perry,none,57,1
33335,321,Hotel BD,Natal (RN),1,242.88,242.88,10/14/2021,4You,Jack Perry,none,57,1
33346,321,Hotel BW,Campo Grande (MS),2,60.39,120.78,12/30/2021,4You,Jack Perry,none,57,1
33347,321,Hotel A,Florianopolis (SC),2,313.02,626.04,01/06/2022,4You,Jack Perry,none,57,1
33348,321,Hotel AF,Sao Paulo (SP),2,139.1,278.2,01/13/2022,4You,Jack Perry,none,57,1
33354,321,Hotel BW,Campo Grande (MS),4,60.39,241.56,02/24/2022,4You,Jack Perry,none,57,1
33357,321,Hotel BW,Campo Grande (MS),4,60.39,241.56,03/17/2022,4You,Jack Perry,none,57,1
33359,321,Hotel BW,Campo Grande (MS),4,60.39,241.56,03/31/2022,4You,Jack Perry,none,57,1
33364,321,Hotel A,Florianopolis (SC),1,313.02,313.02,05/05/2022,4You,Jack Perry,none,57,1
33365,321,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,05/12/2022,4You,Jack Perry,none,57,1
33366,321,Hotel AF,Sao Paulo (SP),2,139.1,278.2,05/19/2022,4You,Jack Perry,none,57,1
33369,321,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,06/09/2022,4You,Jack Perry,none,57,1
33372,321,Hotel A,Florianopolis (SC),2,313.02,626.04,06/30/2022,4You,Jack Perry,none,57,1
33374,321,Hotel BW,Campo Grande (MS),3,60.39,181.17,07/14/2022,4You,Jack Perry,none,57,1
33376,321,Hotel A,Florianopolis (SC),3,313.02,939.06,07/28/2022,4You,Jack Perry,none,57,1
33377,321,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,08/04/2022,4You,Jack Perry,none,57,1
33380,321,Hotel BW,Campo Grande (MS),3,60.39,181.17,08/25/2022,4You,Jack Perry,none,57,1
33386,322,Hotel BP,Brasilia (DF),4,247.62,990.48,10/24/2019,4You,Wallace Gallardo,male,56,1
33387,322,Hotel BP,Brasilia (DF),3,247.62,742.86,10/31/2019,4You,Wallace Gallardo,male,56,1
33390,322,Hotel A,Florianopolis (SC),2,313.02,626.04,11/21/2019,4You,Wallace Gallardo,male,56,1
33393,322,Hotel AU,Recife (PE),2,312.83,625.66,12/12/2019,4You,Wallace Gallardo,male,56,1
33396,322,Hotel AF,Sao Paulo (SP),1,139.1,139.1,01/02/2020,4You,Wallace Gallardo,male,56,1
33398,322,Hotel K,Salvador (BH),1,263.41,263.41,01/16/2020,4You,Wallace Gallardo,male,56,1
33400,322,Hotel BD,Natal (RN),3,242.88,728.64,01/30/2020,4You,Wallace Gallardo,male,56,1
33401,322,Hotel K,Salvador (BH),2,263.41,526.82,02/06/2020,4You,Wallace Gallardo,male,56,1
33405,322,Hotel BW,Campo Grande (MS),4,60.39,241.56,03/05/2020,4You,Wallace Gallardo,male,56,1
33411,322,Hotel BW,Campo Grande (MS),4,60.39,241.56,04/16/2020,4You,Wallace Gallardo,male,56,1
33414,322,Hotel Z,Aracaju (SE),1,208.04,208.04,05/07/2020,4You,Wallace Gallardo,male,56,1
33420,322,Hotel BP,Brasilia (DF),2,247.62,495.24,06/18/2020,4You,Wallace Gallardo,male,56,1
33423,322,Hotel A,Florianopolis (SC),2,313.02,626.04,07/09/2020,4You,Wallace Gallardo,male,56,1
33425,322,Hotel Z,Aracaju (SE),3,208.04,624.12,07/23/2020,4You,Wallace Gallardo,male,56,1
33426,322,Hotel Z,Aracaju (SE),2,208.04,416.08,07/30/2020,4You,Wallace Gallardo,male,56,1
33427,322,Hotel BP,Brasilia (DF),3,247.62,742.86,08/06/2020,4You,Wallace Gallardo,male,56,1
33429,322,Hotel BD,Natal (RN),2,242.88,485.76,08/20/2020,4You,Wallace Gallardo,male,56,1
33430,322,Hotel AF,Sao Paulo (SP),4,139.1,556.4,08/27/2020,4You,Wallace Gallardo,male,56,1
33433,322,Hotel A,Florianopolis (SC),1,313.02,313.02,09/17/2020,4You,Wallace Gallardo,male,56,1
33435,322,Hotel BD,Natal (RN),4,242.88,971.52,10/01/2020,4You,Wallace Gallardo,male,56,1
33437,322,Hotel A,Florianopolis (SC),4,313.02,1252.08,10/15/2020,4You,Wallace Gallardo,male,56,1
33438,322,Hotel Z,Aracaju (SE),3,208.04,624.12,10/22/2020,4You,Wallace Gallardo,male,56,1
33439,322,Hotel AU,Recife (PE),4,312.83,1251.32,10/29/2020,4You,Wallace Gallardo,male,56,1
33441,322,Hotel BD,Natal (RN),4,242.88,971.52,11/12/2020,4You,Wallace Gallardo,male,56,1
33442,322,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,11/19/2020,4You,Wallace Gallardo,male,56,1
33446,322,Hotel AU,Recife (PE),3,312.83,938.49,12/17/2020,4You,Wallace Gallardo,male,56,1
33449,322,Hotel BW,Campo Grande (MS),4,60.39,241.56,01/07/2021,4You,Wallace Gallardo,male,56,1
33455,322,Hotel BD,Natal (RN),3,242.88,728.64,02/18/2021,4You,Wallace Gallardo,male,56,1
33459,322,Hotel A,Florianopolis (SC),3,313.02,939.06,03/18/2021,4You,Wallace Gallardo,male,56,1
33460,322,Hotel A,Florianopolis (SC),4,313.02,1252.08,03/25/2021,4You,Wallace Gallardo,male,56,1
33462,322,Hotel BW,Campo Grande (MS),1,60.39,60.39,04/08/2021,4You,Wallace Gallardo,male,56,1
33463,322,Hotel A,Florianopolis (SC),4,313.02,1252.08,04/15/2021,4You,Wallace Gallardo,male,56,1
33464,322,Hotel BP,Brasilia (DF),4,247.62,990.48,04/22/2021,4You,Wallace Gallardo,male,56,1
33465,322,Hotel BW,Campo Grande (MS),2,60.39,120.78,04/29/2021,4You,Wallace Gallardo,male,56,1
33468,322,Hotel A,Florianopolis (SC),3,313.02,939.06,05/20/2021,4You,Wallace Gallardo,male,56,1
33471,322,Hotel BP,Brasilia (DF),2,247.62,495.24,06/10/2021,4You,Wallace Gallardo,male,56,1
33472,322,Hotel A,Florianopolis (SC),2,313.02,626.04,06/17/2021,4You,Wallace Gallardo,male,56,1
33475,322,Hotel BD,Natal (RN),4,242.88,971.52,07/08/2021,4You,Wallace Gallardo,male,56,1
33479,322,Hotel BW,Campo Grande (MS),2,60.39,120.78,08/05/2021,4You,Wallace Gallardo,male,56,1
33481,322,Hotel AF,Sao Paulo (SP),3,139.1,417.3,08/19/2021,4You,Wallace Gallardo,male,56,1
33483,322,Hotel A,Florianopolis (SC),1,313.02,313.02,09/02/2021,4You,Wallace Gallardo,male,56,1
33485,322,Hotel BW,Campo Grande (MS),1,60.39,60.39,09/16/2021,4You,Wallace Gallardo,male,56,1
33497,322,Hotel BP,Brasilia (DF),1,247.62,247.62,12/09/2021,4You,Wallace Gallardo,male,56,1
33498,322,Hotel AF,Sao Paulo (SP),4,139.1,556.4,12/16/2021,4You,Wallace Gallardo,male,56,1
33503,322,Hotel AU,Recife (PE),1,312.83,312.83,01/20/2022,4You,Wallace Gallardo,male,56,1
33505,322,Hotel AU,Recife (PE),4,312.83,1251.32,02/03/2022,4You,Wallace Gallardo,male,56,1
33506,322,Hotel BW,Campo Grande (MS),4,60.39,241.56,02/10/2022,4You,Wallace Gallardo,male,56,1
33507,322,Hotel Z,Aracaju (SE),3,208.04,624.12,02/17/2022,4You,Wallace Gallardo,male,56,1
33509,322,Hotel BP,Brasilia (DF),2,247.62,495.24,03/03/2022,4You,Wallace Gallardo,male,56,1
33510,322,Hotel K,Salvador (BH),2,263.41,526.82,03/10/2022,4You,Wallace Gallardo,male,56,1
33511,322,Hotel K,Salvador (BH),3,263.41,790.23,03/17/2022,4You,Wallace Gallardo,male,56,1
33513,322,Hotel AF,Sao Paulo (SP),1,139.1,139.1,03/31/2022,4You,Wallace Gallardo,male,56,1
33516,322,Hotel K,Salvador (BH),1,263.41,263.41,04/21/2022,4You,Wallace Gallardo,male,56,1
33521,322,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,05/26/2022,4You,Wallace Gallardo,male,56,1
33528,322,Hotel BW,Campo Grande (MS),2,60.39,120.78,07/14/2022,4You,Wallace Gallardo,male,56,1
33534,322,Hotel AF,Sao Paulo (SP),4,139.1,556.4,08/25/2022,4You,Wallace Gallardo,male,56,1
33535,322,Hotel K,Salvador (BH),4,263.41,1053.64,09/01/2022,4You,Wallace Gallardo,male,56,1
33537,322,Hotel AU,Recife (PE),4,312.83,1251.32,09/15/2022,4You,Wallace Gallardo,male,56,1
33543,322,Hotel A,Florianopolis (SC),4,313.02,1252.08,10/27/2022,4You,Wallace Gallardo,male,56,1
33545,322,Hotel AF,Sao Paulo (SP),2,139.1,278.2,11/10/2022,4You,Wallace Gallardo,male,56,1
33560,322,Hotel BP,Brasilia (DF),2,247.62,495.24,02/23/2023,4You,Wallace Gallardo,male,56,1
33564,322,Hotel Z,Aracaju (SE),1,208.04,208.04,03/23/2023,4You,Wallace Gallardo,male,56,1
33566,322,Hotel Z,Aracaju (SE),4,208.04,832.16,04/06/2023,4You,Wallace Gallardo,male,56,1
33573,322,Hotel BW,Campo Grande (MS),4,60.39,241.56,05/25/2023,4You,Wallace Gallardo,male,56,1
33575,322,Hotel Z,Aracaju (SE),1,208.04,208.04,06/08/2023,4You,Wallace Gallardo,male,56,1
33577,322,Hotel A,Florianopolis (SC),3,313.02,939.06,06/22/2023,4You,Wallace Gallardo,male,56,1
33578,322,Hotel BW,Campo Grande (MS),1,60.39,60.39,06/29/2023,4You,Wallace Gallardo,male,56,1
33585,323,Hotel A,Florianopolis (SC),3,313.02,939.06,10/17/2019,4You,Jean Obrien,female,53,1
